Journal,Issn,Eissn,Description,Publisher,Societies,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
"Computers, Environment and Urban Systems",0198-9715,1873-7587,"""Computers, Environment and Urban Systems is an interdisciplinary journal publishing cutting-edge and innovative computer-based research on urban systems, systems of cities, and built and natural environments , that privileges the geospatial perspective. The journal provides a stimulating presentation of perspectives, research developments, overviews of important new technologies and uses of major computational, information-based, and visualization innovations. Applied and theoretical contributions demonstrate the scope of computer-based analysis fostering a better understanding of urban systems, the synergistic relationships between built and natural environments, their spatial scope and their dynamics.""",Elsevier,"",https://www.elsevier.com/journals/computers-environment-and-urban-systems/0198-9715/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication
where appropriate, and enables you to interlink the data with your published articles. """,0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Journal of Urban Economics,0094-1190,1095-9068,"""The Journal of Urban Economics provides a focal point for the publication of research papers in the rapidly expanding field of urban economics. It publishes papers of great scholarly merit on a wide range of topics and employing a wide range of approaches to urban economics. The Journal welcomes papers that are theoretical or empirical, positive or normative. Although the Journal is not intended to be multidisciplinary, papers by noneconomists are welcome if they are of interest to economists. Brief Notes are also published if they lie within the purview of the Journal and if they contain new information, comment on published work, or new theoretical suggestions.""",Elsevier,"",https://www.elsevier.com/journals/journal-of-urban-economics/0094-1190/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing themin your text and including a data reference in your Reference List. Data references should include thefollowing elements: author name(s), dataset title, data repository, version (where available), year,and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publicationwhere appropriate, and enables you to interlink the data with your published articles. """,0,""" To facilitatereproducibility and data reuse, this journal also encourages you to share your software, code, models,algorithms, protocols, methods and other useful materials related to the project.""",0,""" To facilitatereproducibility and data reuse, this journal also encourages you to share your software, code, models,algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Animal Welfare,0962-7286,"","""Animal Welfare is an international scientific and technical journal. It publishes the results of peer-reviewed scientific research, technical studies and reviews relating to the welfare of kept animals (eg on farms, in laboratories, zoos and as companions) and of those in the wild whose welfare is compromised by human activities. Papers on related ethical, social, and legal issues and interdisciplinary papers will also be considered for publication.  Studies that are derivative or which replicate existing publications will only be considered if they are adequately justified.""",,"",https://www.ufaw.org.uk/the-ufaw-journal/instructions-for-authors,0,No mention.,0,"""Additional supporting material such as data sets or appendices that are relevant to, but which do not form part of, the paper itself can be submitted for online publication on the Animal Welfare website.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0
Infant and Child Development,1522-7219,1522-7227,"",Wiley,"",https://onlinelibrary.wiley.com/page/journal/15227219/homepage/forauthors.html,0,Journal does not provide example of data citation.,1,"""All submissions to the journal must include a statement about whether a) the raw data, b) the analytic code, and c) the study materials are publicly available, and, if so, where to access them.""",1,"""All submissions to the journal must include a statement about whether a) the raw data, b) the analytic code, and c) the study materials are publicly available, and, if so, where to access them.""",1,"""All submissions to the journal must include a statement about whether a) the raw data, b) the analytic code, and c) the study materials are publicly available, and, if so, where to access them.""",2,Journal details design transparency requirements.,0,"""The journal encourages preregistration of study design and/or analysis plans for all empirical submissions. Preregistrations must be openly available and accessible to reviewers and readers. """,0,"""The journal encourages preregistration of study design and/or analysis plans for all empirical submissions. Preregistrations must be openly available and accessible to reviewers and readers. """,3,"Journal accepts replications as Registered Reports ""The journal encourages well-powered replications (direct and conceptual) of previously published findings.""",3,""" The journal accepts Registered Reports as a regular submission option (see Article Types for more details).""",2,"""This journal is part of Wileys Open Research Badges program. """,13
Cambridge Educational Research e-Journal,2634-9876,"","""CERJ is an online journal for higher-degree students to share their on-going or completed work with peers and the wider academic community.""",,"",https://cerj.educ.cam.ac.uk/submissions/,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,3,"Journal accepts Registered Reports through PCI RR ""PCI RR welcomes submissions proposing original research and replication studies.""",3,"Journal accepts Registered Reports through PCI RR ""PCI RR welcomes submissions proposing original research and replication studies.""",0,No mention.,6
Applied Geochemistry,0883-2927,1872-9134,"""Established in 1986, Applied Geochemistry is an impactful international journal aims to offer a dynamic venue for the global geochemical community to present and share original research, critical reviews, perspective and viewpoints, which have some practical applications or implications to human endeavour and wellbeing. The journal strives to publish rigorous and robust papers for a multidisciplinary and diverse audience of scientists, practitioners, policy makers in the broad environmental geoscience community. Applied Geochemistry facilitated the diffusion of numerous scientifically-novel, policy-changing and thought-leading knowledges in the field. """,Elsevier,"",https://www.elsevier.com/journals/applied-geochemistry/0883-2927/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing themin your text and including a data reference in your Reference List. Data references should include thefollowing elements: author name(s), dataset title, data repository, version (where available), year,and global persistent identifier. """,2,"""This journal requires and enables you to share data that supports your research publication whereappropriate, and enables you to interlink the data with your published articles.""",0,"""To facilitatereproducibility and data reuse, this journal also encourages you to share your software, code, models,algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitatereproducibility and data reuse, this journal also encourages you to share your software, code, models,algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,,No mention.,0,No mention.,3
Journal of Geochemical Exploration,0375-6742,1879-1689,"""Journal of Geochemical Exploration is mostly dedicated to publication of original studies in exploration and environmental geochemistry and related topics.""",Elsevier,"",https://www.elsevier.com/journals/journal-of-geochemical-exploration/0375-6742/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing themin your text and including a data reference in your Reference List. Data references should include thefollowing elements: author name(s), dataset title, data repository, version (where available), year,and global persistent identifier. """,2,"""This journal requires and enables you to share data that supports your research publication whereappropriate, and enables you to interlink the data with your published articles.""",0,"""To facilitatereproducibility and data reuse, this journal also encourages you to share your software, code, models,algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitatereproducibility and data reuse, this journal also encourages you to share your software, code, models,algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,,No mention.,0,No mention.,3
Lithos,0024-4937,1872-6143,"""Lithos publishes original research papers on the petrology, geochemistry and petrogenesis of igneous and metamorphic rocks. Papers on mineralogy/mineral physics related to petrology and petrogenetic problems are also welcomed. Types of papers published include: regular articles, letters, reviews (normally invited by the editors), comments/replies, book reviews and (very occasionally) synthesis papers.""",Elsevier,"",https://www.elsevier.com/journals/lithos/0024-4937/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing themin your text and including a data reference in your Reference List. Data references should include thefollowing elements: author name(s), dataset title, data repository, version (where available), year,and global persistent identifier. """,2,"""This journal requires and enables you to share data that supports your research publication whereappropriate, and enables you to interlink the data with your published articles.""",0,"""To facilitatereproducibility and data reuse, this journal also encourages you to share your software, code, models,algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitatereproducibility and data reuse, this journal also encourages you to share your software, code, models,algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,,No mention.,0,No mention.,3
Ore Geology Reviews,0169-1368,1872-7360,"""Ore Geology Reviews aims to familiarize all earth scientists with recent advances in a number of interconnected disciplines related to the study of, and search for, ore deposits. The reviews range from brief to longer contributions, but the journal preferentially publishes manuscripts that fill the niche between the commonly shorter journal articles and the comprehensive book coverages, and thus has a special appeal to many authors and readers.""",Elsevier,"",https://www.elsevier.com/journals/ore-geology-reviews/0169-1368/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing themin your text and including a data reference in your Reference List. Data references should include thefollowing elements: author name(s), dataset title, data repository, version (where available), year,and global persistent identifier. """,2,"""This journal requires and enables you to share data that supports your research publication whereappropriate, and enables you to interlink the data with your published articles.""",0,"""To facilitatereproducibility and data reuse, this journal also encourages you to share your software, code, models,algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitatereproducibility and data reuse, this journal also encourages you to share your software, code, models,algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,3
Journal of Interactive Marketing,1094-9968,1520-6653,"",Elsevier,"",https://www.elsevier.com/journals/journal-of-interactive-marketing/1094-9968/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication
where appropriate, and enables you to interlink the data with your published articles. """,0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Journal of World Business,1090-9516,1878-5573,"""The Journal of World Business is a premier journal in the field of International Business. The Journal's history dates to 1965, when it was founded as the Columbia Journal of World Business. JWB publishes cutting-edge research that reflect important developments in International Business. The Journal seeks to publish research that advances new theoretical directions and new ways of thinking about International Business phenomena. As such, to match the domain statement of the journal, submissions must have an explicit multinational, cross-border, or international comparative orientation and be relevant to the study of management and organizations.""",Elsevier,"",https://www.elsevier.com/journals/journal-of-world-business/1090-9516/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication
where appropriate, and enables you to interlink the data with your published articles. """,0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Epilepsy & Behavior,1525-5050,1525-5069,"""Epilepsy & Behavior is the fastest-growing international journal uniquely devoted to the rapid dissemination of the most current information available on the behavioral aspects of seizures and epilepsy.""",Elsevier,"",https://www.elsevier.com/journals/epilepsy-and-behavior/1525-5050/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication
where appropriate, and enables you to interlink the data with your published articles. """,0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Behavioural Brain Research,0166-4328,1872-7549,"""Behavioural Brain Research is an international, interdisciplinary journal dedicated to the publication of articles in the field of behavioural neuroscience, broadly defined. Contributions from the entire range of disciplines that comprise the neurosciences, behavioural sciences or cognitive sciences are appropriate, as long as the goal is to delineate the neural mechanisms underlying behaviour. Thus, studies may range from neurophysiological, neuroanatomical, neurochemical or neuropharmacological analysis of brain-behaviour relations, including the use of molecular genetic or behavioural genetic approaches, to studies that involve the use of brain imaging techniques, to neuroethological studies. Reports of original research, of major methodological advances, or of novel conceptual approaches are all encouraged. The journal will also consider critical reviews on selected topics.""",Elsevier,"",https://www.elsevier.com/journals/behavioural-brain-research/0166-4328/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication
where appropriate, and enables you to interlink the data with your published articles. """,0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Pharmacology Biochemistry and Behavior,0091-3057,1873-5177,"""Pharmacology Biochemistry & Behavior publishes original reports in the areas of pharmacology and biochemistry in which the primary emphasis and theoretical context are behavioral. Contributions may involve clinical, preclinical, or basic research. """,Elsevier,"",https://www.elsevier.com/journals/pharmacology-biochemistry-and-behavior/0091-3057/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication
where appropriate, and enables you to interlink the data with your published articles. """,0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Neurobiology of Sleep and Circadian Rhythms,2451-9944,"","""Neurobiology of Sleep and Circadian Rhythms is a multidisciplinary journal for the publication of original research and review articles on basic and translational research into sleep and circadian rhythms. The journal focuses on topics covering the mechanisms of sleep/wake and circadian regulation from molecular to systems level, and on the functional consequences of sleep and circadian disruption. A key aim of the journal is the translation of basic research findings to understand and treat sleep and circadian disorders.""",Elsevier,"",https://www.elsevier.com/journals/neurobiology-of-sleep-and-circadian-rhythms/2451-9944/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication
where appropriate, and enables you to interlink the data with your published articles. """,0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Sleep Health,2352-7218,2352-7226,"""Sleep Health Journal of the National Sleep Foundation is a multidisciplinary journal that explores sleep's role in population health and elucidates the social science perspective on sleep and health. Aligned with the National Sleep Foundation's global authoritative, evidence-based voice for sleep health, the journal serves as the foremost publication for manuscripts that advance the sleep health of all members of society.The scope of the journal extends across diverse sleep-related fields, including anthropology, education, health services research, human development, international health, law, mental health, nursing, nutrition, psychology, public health, public policy, fatigue management, transportation, social work, and sociology. The journal welcomes original research articles, review articles, brief reports, special articles, letters to the editor, editorials, and commentaries.""",Elsevier,"",https://www.elsevier.com/journals/sleep-health/2352-7218/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication
where appropriate, and enables you to interlink the data with your published articles. """,0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Journal of Mathematical Behavior,0732-3123,1873-8028,"""The Journal of Mathematical Behavior is an international, double blind peer reviewed journal concerned with the learning and teaching of mathematics. Our fundamental goal is to publish research of the highest quality that expands understanding of how people build, retain, communicate, apply and comprehend mathematical ideas.""",Elsevier,"",https://www.elsevier.com/journals/the-journal-of-mathematical-behavior/0732-3123/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication
where appropriate, and enables you to interlink the data with your published articles. """,0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Quantitative Finance,1469-7688,1469-7696,"""The frontiers of finance are shifting rapidly, driven in part by the increasing use of quantitative methods in the field. Quantitative Finance welcomes original research articles that reflect the dynamism of this area. The journal provides an interdisciplinary forum for presenting both theoretical and empirical approaches and offers rapid publication of original new work with high standards of quality. The readership is broad, embracing researchers and practitioners across a range of specialisms and within a variety of organizations. All articles should aim to be of interest to this broad readership.""",Taylor & Francis,"",https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rquf20,1,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" Provides instruction on how to cite data.",1,""" If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,2,"""This journal supports Open Science Badges. """,4
Psi Chi Journal of Psychological Research,"",2325-7342,"",,"",https://www.psichi.org/page/journal_main#.Yg52eJPMK3K,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,2,"""To promote transparency and increased standards in research, our journal proudly awards the four Open Science Badges pictured above to all authors who share Open Data, Open Materials, Preregister their research, and conduct Replication studies.""",2
Journal of Maps,"",1744-5647,"""Journal of Maps research examines social and physical processes that take place on a geographical scale, using maps or spatial diagrams to advance understanding. Topics could include, for example, footfall in retail marketing, the spread of bird flu or location of geological faults. Maps submitted must make a substantial contribution to knowledge in the field that is likely to be of broad interest to readers.""",Taylor & Francis,"",https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tjom20,0,"""Authors are required to cite any data sets referenced in the article and provide a Data Availability Statement."" Journal does not provide rules or examples for dataset citation.",1,"""If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,2,"""This journal supports Open Science Badges.""",3
Ear and Hearing,0196-0202,1538-4667,"""From the basic science of hearing and balance disorders to auditory electrophysiology to amplification and the psychological factors of hearing loss, Ear and Hearing covers all aspects of auditory and vestibular disorders. This multidisciplinary journal consolidates the various factors that contribute to identification, remediation, and audiologic and vestibular rehabilitation. It is the one journal that serves the diverse interest of all members of this professional community -- otologists, audiologists, educators, and to those involved in the design, manufacture, and distribution of amplification systems. The original articles published in the journal focus on assessment, diagnosis, and management of auditory and vestibular disorders""",,"",https://edmgr.ovid.com/eandh/accounts/ifauth.htm,0,No mention.,0,"""Data Sharing: Ear and Hearing supports the ICMJE policy on data sharing for clinical trial submissions Please submit a Data sharing statement with your submission. "" Requirement applies to clinical trial submissions, and not to all studies.",0,No mention.,0,No mention.,1,Journal presents transparency guidelines for a variety of study types. Suggested adherence to these guidelnes ranges from optional to required.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,2,"""Authors submitting manuscripts to Ear and Hearing are eligible to earn up to three badges in recognition of open scientific practices. These include an Open Data badge, an Open Materials badge and a Pre-registered badge. """,3
Big Earth Data,2096-4471,2574-5417,"""Big Earth Data aims to provide an efficient and high-quality platform for promoting big data sharing, processing and analyses, thereby revolutionising the cognition of the Earths systems. The journal primarily features the fundamentals of big Earth data handling, as well as the channels and technologies used for big Earth data collection, management, analysis and visualisation. To showcase the benefits of data-driven research, submissions on the applications of 'big Earth data' in exploring the Earth's history and its future evolution are highly encouraged.""",Taylor & Francis,"",https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tbed20,1,Provides example of data set citation.,2,"""This journal applies the Taylor & Francis open + FAIR data policy. Authors are required to make the data and materials supporting the results or analyses presented in their paper freely available. """,2,"""This journal applies the Taylor & Francis open + FAIR data policy. Authors are required to make the data and materials supporting the results or analyses presented in their paper freely available. """,2,"""This journal applies the Taylor & Francis open + FAIR data policy. Authors are required to make the data and materials supporting the results or analyses presented in their paper freely available. """,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,2,"""This journal supports Open Science Badges.""",9
The Journal of Sex Research,0022-4499,1559-8519,"""SR is designed to stimulate research and promote an interdisciplinary understanding of the diverse topics in contemporary sexual science.""",Taylor & Francis,"",https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hjsr20,1,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement.""",1,"""If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,3,"""Journal uses Registered Reports as a submission option for replication studies with peer review prior to observing the study outcomes.""",3,Journal accepts Registered Reports for novel studies as a regular submission option.,0,No mention,8
Science and Medicine in Football,2473-3938,2473-4446,"""Science and Medicine in Football is a quarterly international, peer-reviewed journal. The mission of the publication is to advance the theoretical knowledge, methodological approaches and the professional practice associated with the sport of football. The journal aims to publish meaningful articles on various aspects of sports medicine and science related to all codes of football.""",Taylor & Francis,"",https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rsmf20,1,"""Authors are further encouraged to cite any data sets referenced in the article"" Provides instructions on data citation.",1,"""If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found. """,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,3,"Journal accepts Registered Reports ""High-value replication studies are welcome in addition to
novel studies.""",3,"Journal accepts Registered Reports ""High-value replication studies are welcome in addition to
novel studies.""",0,No mention.,8
Psychonomic Bulletin & Review,1069-9384,1531-5320,"""The journal provides coverage spanning a broad spectrum of topics in all areas of experimental psychology, intended for a general readership. The journal is primarily dedicated to the publication of theory and review articles and brief reports of outstanding experimental work. Areas of coverage include attention and perception, cognitive psychology, psycholinguistics, behavioral and cognitive neuroscience, memory, comparative psychology, social cognition, and cognitive development.""",Springer,Psychonomic Society,https://www.springer.com/journal/13423/submission-guidelines?gclid=Cj0KCQiAmKiQBhClARIsAKtSj-k2b7cmxNIUqv-zVCChtYqyg_gqP9oDkAIuftcyHNgwJPrUPnXRE4UaApp4EALw_wcB,1,"""Datasets that are assigned digital object identifiers (DOIs) by a data repository may be cited in the reference list. Data citations should include the minimum information recommended by DataCite: authors, title, publisher (repository name), identifier.""",1,"""All authors are required to respond to the questions below, and in addition, all submitted manuscripts must include an Open Practices Statement immediately prior to the References section of the paper. The statement must specify (1) whether data and/or materials are available, and if so, where (as per Level 1 TOP guidelines, URLs are required to have a persistent identifier);""",0,"""The above should be summarized in a statement and placed in a ‘Declarations’ section before the reference list under a heading of ‘Consent to participate’ and/or ‘Consent to publish’. Other declarations include Funding, Competing interests, Ethics approval, Consent, Data and/or Code availability and Authors’ contribution statements."" Unclear if required.",1,"""All authors are required to respond to the questions below, and in addition, all submitted manuscripts must include an Open Practices Statement immediately prior to the References section of the paper. The statement must specify (1) whether data and/or materials are available, and if so, where (as per Level 1 TOP guidelines, URLs are required to have a persistent identifier);""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",1,"""All authors are required to respond to the questions below, and in addition, all submitted manuscripts must include an Open Practices Statement immediately prior to the References section of the paper. The statement must specify (1) whether data and/or materials are available, and if so, where (as per Level 1 TOP guidelines, URLs are required to have a persistent identifier); and (2) whether any experiments were preregistered, and if so, which.""",1,"""All authors are required to respond to the questions below, and in addition, all submitted manuscripts must include an Open Practices Statement immediately prior to the References section of the paper. The statement must specify (1) whether data and/or materials are available, and if so, where (as per Level 1 TOP guidelines, URLs are required to have a persistent identifier); and (2) whether any experiments were preregistered, and if so, which.""",1,"""Registered Reports or Replications (RR) are intended to strengthen the reliability and validity of the results in our science."" Unclear if replications are welcome as Registered Reports.",3,"""Registered Reports or Replications (RR) are intended to strengthen the reliability and validity of the results in our science.""",0,No mention.,10
Plant Direct,"",2475-4455,"""Plant Direct is an open access, sound science journal for the plant sciences that gives prompt and equal consideration to papers reporting work dealing with a variety of subjects. It is a collaborative journal launched by the American Society of Plant Biologists, the Society for Experimental Biology, and Wiley and it supports the ASPB and SEB communities.""",Wiley,"",https://onlinelibrary.wiley.com/page/journal/24754455/homepage/forauthors.html,0,No mention.,0,"""Large-scale data sets (e.g., complete or draft genome sequences, genome annotations, genetic maps, EST data sets, transcript profiles, proteomic data sets, metabolic profiles, next-gen sequencing data and plant phenotyping image datasets) that are integral to the manuscript must be provided at time of manuscript submission. "" Does not require data sharing for all types of data.",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,3,"Journal accepts Registered Reports ""High-value replication studies are welcome in addition to novel studies.""",3,"Journal accepts Registered Reports ""High-value replication studies are welcome in addition to novel studies.""",0,No mention.,6
Paediatric and Neonatal Pain,"",2637-3807,"""Paediatric & Neonatal Pain is a multidisciplinary journal with a span across medicine and nursing, serving healthcare workers and the paediatric care research community. The journal has a focus on cutting-edge research into paediatric and neonatal pain management, clinical practice, and analgesia.""",Wiley,"",https://onlinelibrary.wiley.com/page/journal/26373807/homepage/author-guidelines,0,No mention.,0,"""Authors publishing in the journal are therefore encouraged to make their data, scripts and other artefacts used to generate the analyses presented in the paper available via a publicly available data repository, however this is not mandatory. """,0,"""Authors publishing in the journal are therefore encouraged to make their data, scripts and other artefacts used to generate the analyses presented in the paper available via a publicly available data repository, however this is not mandatory. """,0,"""Authors publishing in the journal are therefore encouraged to make their data, scripts and other artefacts used to generate the analyses presented in the paper available via a publicly available data repository, however this is not mandatory. """,0,"""Accurate and complete reporting enables readers to fully appraise research, replicate it, and use it. We expect authors to adhere to the appropriate guidelines."" Does not present appropriate guidelines for all study types.",0,No mention.,0,No mention.,3,"Registered Reports are accepted ""High-value replication studies are welcome in addition to novel studies.""",3,"Registered Reports are accepted ""High-value replication studies are welcome in addition to novel studies.""",0,No mention.,6
